actor_id,population,year,created,last_updated,datasource_id
OC_ACTOR_305,1457,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_306,3587,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_307,1146,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_308,6214,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_309,20915,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_310,37446,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_311,21776,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_312,5200,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_313,2567,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_314,3806,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_315,1110,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_316,10754,2021,2022-10-11,2022-10-11,OC_DATASOURCE_7
